,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.487,100.00,Paraná Banco 100% CDI por Paraná Banco,FGC,CDB,9.82% a.a.,16/10/2023,Paraná Banco,Paraná Banco
1,5.487,100.00,Banco Master 100% CDI por Órama,FGC,CDB,9.82% a.a.,16/10/2023,Órama,Banco Master
2,5.487,100.00,Banco Master 100% CDI por Nu invest,FGC,CDB,9.82% a.a.,16/10/2023,Nu invest,Banco Master
3,5.487,100.00,ABC 100% CDI por ABC Personal,FGC,CDB,9.82% a.a.,16/10/2023,ABC Personal,ABC
4,5.487,100.00,Voiter 100% CDI por Órama,FGC,CDB,9.82% a.a.,16/10/2023,Órama,Voiter
5,5.483,12.30,Daycoval Prefixado 12.3% por Daycoval,FGC,CDB,9.83% a.a.,11/10/2023,Daycoval,Daycoval
6,5.481,98.70,BV 98.7% CDI por Nova Futura Investimentos,FGC,CDB,9.70% a.a.,16/10/2023,Nova Futura Investimentos,BV
7,5.475,97.50,Bradesco 97.5% CDI por Ágora Investimentos,FGC,CDB,9.58% a.a.,16/10/2023,Ágora Investimentos,Bradesco
8,5.474,9.60,BTG Pactual Prefixado 9.6% por Daycoval,FGC,LCA,9.60% a.a.,14/10/2023,Daycoval,BTG Pactual
9,5.472,97.00,Digimais 97% CDI por modalmais,FGC,CDB,9.53% a.a.,16/10/2023,modalmais,Digimais
10,5.470,97.00,Digimais 97% CDI por Nova Futura Investimentos,FGC,CDB,9.53% a.a.,13/10/2023,Nova Futura Investimentos,Digimais
11,5.467,96.00,Banco Master 96% CDI por Guide Investimentos,FGC,CDB,9.43% a.a.,16/10/2023,Guide Investimentos,Banco Master
