,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.619,12.38,ABC Prefixado 12.38% por ABC Personal,FGC,LCA,12.38% a.a.,18/10/2023,ABC Personal,ABC
1,5.605,14.80,Will Financeira Prefixado 14.8% por Órama,FGC,CDB,12.20% a.a.,16/10/2023,Órama,Will Financeira
2,5.604,14.90,BRK Financeira IPCA + 8.7% por Nova Futura Investimentos,FGC,CDB,12.29% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
3,5.592,12.00,Daycoval Prefixado 12% por Daycoval,FGC,LCA,12.00% a.a.,14/10/2023,Daycoval,Daycoval
4,5.589,14.47,BTG Pactual IPCA + 8.3% por Nu invest,FGC,CDB,11.94% a.a.,15/10/2023,Nu invest,BTG Pactual
5,5.588,14.38,Banco Master IPCA + 8.21% por Nu invest,FGC,CDB,11.86% a.a.,16/10/2023,Nu invest,Banco Master
6,5.580,14.25,Facta Financeira Prefixado 14.25% por XP Investimentos,FGC,CDB,11.75% a.a.,15/10/2023,XP Investimentos,Facta Financeira
7,5.578,98.00,Bari 98% CDI por Bari,FGC,LCI,11.67% a.a.,16/10/2023,Bari,Bari
8,5.576,11.53,ABC IPCA + 5.51% por ABC Personal,FGC,LCA,11.53% a.a.,18/10/2023,ABC Personal,ABC
9,5.575,119.15,BRK Financeira CDI + 2.04% por Nova Futura Investimentos,FGC,CDB,11.71% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
10,5.570,13.95,Agibank Prefixado 13.95% por Nova Futura Investimentos,FGC,CDB,11.50% a.a.,16/10/2023,Nova Futura Investimentos,Agibank
11,5.569,116.85,Tesouro SELIC 2027,,Tesouro Direto,11.48% a.a.,16/10/2023,Rico Investimentos,Tesouro Nacional
12,5.568,11.52,BTG Pactual IPCA + 5.5% por Nu invest,FGC,LCA,11.52% a.a.,15/10/2023,Nu invest,BTG Pactual
13,5.568,97.00,Banco Inter 97% CDI por Banco Inter,FGC,LCI,11.55% a.a.,11/10/2023,Banco Inter,Banco Inter
14,5.567,13.87,BTG Pactual IPCA + 7.73% por Nova Futura Investimentos,FGC,CDB,11.44% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
15,5.567,13.99,ABC Prefixado 13.99% por ABC Personal,FGC,CDB,11.53% a.a.,12/10/2023,ABC Personal,ABC
16,5.566,95.05,ABC 95.05% CDI por ABC Personal,FGC,LCA,11.32% a.a.,18/10/2023,ABC Personal,ABC
17,5.565,117.00,BRK Financeira 117% CDI por Nova Futura Investimentos,FGC,CDB,11.49% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
18,5.565,116.00,BRK Financeira 116% CDI por Órama,FGC,CDB,11.40% a.a.,16/10/2023,Órama,BRK Financeira
19,5.565,115.97,Tesouro SELIC 2024,,Tesouro Direto,11.39% a.a.,16/10/2023,Rico Investimentos,Tesouro Nacional
20,5.564,13.80,RNX Prefixado 13.8% por Órama,FGC,CDB,11.38% a.a.,16/10/2023,Órama,RNX
21,5.562,13.75,Agibank Prefixado 13.75% por modalmais,FGC,CDB,11.34% a.a.,16/10/2023,modalmais,Agibank
22,5.560,13.77,Digimais Prefixado 13.77% por Nova Futura Investimentos,FGC,CDB,11.35% a.a.,13/10/2023,Nova Futura Investimentos,Digimais
23,5.560,115.00,Bari 115% CDI por Bari,FGC,CDB,11.30% a.a.,16/10/2023,Bari,Bari
24,5.556,11.22,BTG Pactual IPCA + 5.22% por Nova Futura Investimentos,FGC,LCA,11.22% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
25,5.556,13.60,RNX Prefixado 13.6% por modalmais,FGC,CDB,11.21% a.a.,16/10/2023,modalmais,RNX
26,5.556,13.60,C6 Bank Prefixado 13.6% por Nova Futura Investimentos,FGC,CDB,11.21% a.a.,16/10/2023,Nova Futura Investimentos,C6 Bank
27,5.552,13.50,Focus Financeira Prefixado 13.5% por modalmais,FGC,CDB,11.13% a.a.,16/10/2023,modalmais,Focus Financeira
28,5.551,13.48,Modal Prefixado 13.48% por modalmais,FGC,CDB,11.12% a.a.,16/10/2023,modalmais,Modal
29,5.549,13.56,NBC Prefixado 13.56% por Nova Futura Investimentos,FGC,CDB,11.18% a.a.,12/10/2023,Nova Futura Investimentos,NBC
30,5.548,13.42,Votorantim Prefixado 13.42% por modalmais,FGC,CDB,11.07% a.a.,16/10/2023,modalmais,Votorantim
31,5.548,13.41,BR Partners Prefixado 13.41% por modalmais,FGC,CDB,11.06% a.a.,16/10/2023,modalmais,BR Partners
