,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.524,108.00,Paraná Banco 108% CDI por Paraná Banco,FGC,CDB,10.61% a.a.,13/10/2023,Paraná Banco,Paraná Banco
1,5.524,108.00,Semear 108% CDI por Daycoval,FGC,CDB,10.61% a.a.,14/10/2023,Daycoval,Semear
2,5.523,106.00,Luso Brasileiro 106% CDI por Guide Investimentos,FGC,CDB,10.42% a.a.,19/10/2023,Guide Investimentos,Luso Brasileiro
3,5.522,12.89,Tribanco Prefixado 12.89% por modalmais,FGC,CDB,10.63% a.a.,12/10/2023,modalmais,Tribanco
4,5.522,12.88,BMG Prefixado 12.88% por modalmais,FGC,CDB,10.62% a.a.,12/10/2023,modalmais,BMG
5,5.521,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.51% a.a.,16/10/2023,Órama,BRK Financeira
6,5.521,107.00,Luso Brasileiro 107% CDI por Nova Futura Investimentos,FGC,CDB,10.51% a.a.,16/10/2023,Nova Futura Investimentos,Luso Brasileiro
7,5.521,106.00,Banco Industrial do Brasil 106% CDI por Ágora Investimentos,FGC,CDB,10.42% a.a.,18/10/2023,Ágora Investimentos,Banco Industrial do Brasil
8,5.519,107.00,Pine 107% CDI por Daycoval,FGC,CDB,10.51% a.a.,14/10/2023,Daycoval,Pine
9,5.518,106.00,Banco Master 106% CDI por Guide Investimentos,FGC,CDB,10.42% a.a.,17/10/2023,Guide Investimentos,Banco Master
10,5.518,106.00,BMG 106% CDI por Guide Investimentos,FGC,CDB,10.42% a.a.,17/10/2023,Guide Investimentos,BMG
11,5.518,106.00,PagBank 106% CDI por Guide Investimentos,FGC,CDB,10.42% a.a.,17/10/2023,Guide Investimentos,PagBank
