,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.511,12.55,C6 Bank Prefixado 12.55% por Daycoval,FGC,CDB,10.35% a.a.,14/10/2023,Daycoval,C6 Bank
1,5.510,12.49,Will Financeira Prefixado 12.49% por Will Financeira,FGC,LC,10.30% a.a.,16/10/2023,Will Financeira,Will Financeira
2,5.510,12.49,Will Financeira Prefixado 12.49% por Will Financeira,FGC,CDB,10.30% a.a.,16/10/2023,Will Financeira,Will Financeira
3,5.510,105.63,BMG CDI + 0.6% por Nova Futura Investimentos,FGC,CDB,10.38% a.a.,12/10/2023,Nova Futura Investimentos,BMG
4,5.509,105.00,BS2 105% CDI por Daycoval,FGC,CDB,10.32% a.a.,14/10/2023,Daycoval,BS2
5,5.507,103.75,PAN 103.75% CDI por Guide Investimentos,FGC,CDB,10.19% a.a.,17/10/2023,Guide Investimentos,PAN
6,5.507,105.00,Máxima 105% CDI por modalmais,FGC,CDB,10.32% a.a.,12/10/2023,modalmais,Máxima
7,5.506,104.00,C6 Bank 104% CDI por Nova Futura Investimentos,FGC,CDB,10.22% a.a.,16/10/2023,Nova Futura Investimentos,C6 Bank
8,5.506,104.00,C6 Bank 104% CDI por modalmais,FGC,CDB,10.22% a.a.,16/10/2023,modalmais,C6 Bank
9,5.506,104.00,BR Partners 104% CDI por modalmais,FGC,CDB,10.22% a.a.,16/10/2023,modalmais,BR Partners
10,5.505,12.36,Pine Prefixado 12.36% por modalmais,FGC,CDB,10.19% a.a.,16/10/2023,modalmais,Pine
11,5.504,103.00,BR Partners 103% CDI por Guide Investimentos,FGC,CDB,10.12% a.a.,17/10/2023,Guide Investimentos,BR Partners
