,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.234,100.00,Banco Master 100% CDI por Nu invest,FGC,CDB,9.69% a.a.,17/04/2023,Nu invest,Banco Master
1,5.234,100.00,Banco Industrial do Brasil 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Banco Industrial do Brasil
2,5.234,100.00,Voiter 100% CDI por Órama,FGC,CDB,9.69% a.a.,17/04/2023,Órama,Voiter
3,5.234,100.00,Voiter 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Voiter
4,5.234,99.00,Pine 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,18/04/2023,Guide Investimentos,Pine
5,5.234,99.00,Banco Industrial do Brasil 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,18/04/2023,Guide Investimentos,Banco Industrial do Brasil
6,5.234,100.50,Luso Brasileiro 100.5% CDI por XP Investimentos,FGC,CDB,9.74% a.a.,16/04/2023,XP Investimentos,Luso Brasileiro
7,5.233,100.00,Caruana Financeira 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Caruana Financeira
8,5.233,100.00,Caruana Financeira 100% CDI por Nova Futura Investimentos,FGC,CDB,9.69% a.a.,16/04/2023,Nova Futura Investimentos,Caruana Financeira
9,5.233,100.00,Pine 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Pine
10,5.233,100.00,Banco Industrial do Brasil 100% CDI por modalmais,FGC,CDB,9.69% a.a.,16/04/2023,modalmais,Banco Industrial do Brasil
11,5.232,99.00,Daycoval 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,17/04/2023,Guide Investimentos,Daycoval
,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
