,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
158,5.239,102.00,C6 Bank 102% CDI por Ágora Investimentos,FGC,CDB,9.89% a.a.,17/04/2023,Ágora Investimentos,C6 Bank
159,5.239,102.00,Paraná Banco 102% CDI por Ágora Investimentos,FGC,CDB,9.89% a.a.,17/04/2023,Ágora Investimentos,Paraná Banco
160,5.239,102.00,ICBC 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,ICBC
161,5.239,101.00,ABC 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,ABC
162,5.239,101.00,BMG 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,BMG
163,5.239,101.00,C6 Bank 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,C6 Bank
164,5.239,101.00,Paraná Banco 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,Paraná Banco
165,5.238,101.75,BTG Pactual 101.75% CDI por BTG Pactual,FGC,CDB,9.86% a.a.,17/04/2023,BTG Pactual,BTG Pactual
166,5.237,102.00,Daycoval 102% CDI por Nu invest,FGC,CDB,9.89% a.a.,16/04/2023,Nu invest,Daycoval
167,5.237,102.00,Banco Inter 102% CDI por Banco Inter,FGC,CDB,9.89% a.a.,16/04/2023,Banco Inter,Banco Inter
168,5.237,102.00,C6 Bank 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,16/04/2023,Nova Futura Investimentos,C6 Bank
169,5.237,102.00,BMG 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,16/04/2023,Nova Futura Investimentos,BMG
170,5.237,102.00,RNX 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,RNX
171,5.237,102.00,BMG 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,BMG
172,5.237,102.00,C6 Bank 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,C6 Bank
173,5.237,101.00,Pine 101% CDI por Pine Online,FGC,CDB,9.79% a.a.,17/04/2023,Pine Online,Pine
174,5.237,101.00,Daycoval 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,17/04/2023,Daycoval,Daycoval
175,5.237,101.00,Caruana Financeira 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Caruana Financeira
176,5.237,101.00,Omni Banco 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Omni Banco
177,5.237,101.00,Pine 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Pine
178,5.236,100.00,Omni Banco 100% CDI por Guide Investimentos,FGC,CDB,9.69% a.a.,18/04/2023,Guide Investimentos,Omni Banco
179,5.236,100.50,Pine 100.5% CDI por BTG Pactual,FGC,CDB,9.74% a.a.,17/04/2023,BTG Pactual,Pine
180,5.236,100.50,Rodobens 100.5% CDI por BTG Pactual,FGC,CDB,9.74% a.a.,17/04/2023,BTG Pactual,Rodobens
181,5.235,100.25,Bradesco 100.25% CDI por Ágora Investimentos,FGC,CDB,9.72% a.a.,17/04/2023,Ágora Investimentos,Bradesco
182,5.235,101.00,Pine 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,16/04/2023,Daycoval,Pine
183,5.235,101.00,C6 Bank 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,16/04/2023,Daycoval,C6 Bank
184,5.234,100.00,NuBank 100% CDI por NuBank,FGC,RDB,9.69% a.a.,17/04/2023,NuBank,NuBank
185,5.234,100.00,Banco Inter 100% CDI por Banco Inter,FGC,CDB,9.69% a.a.,17/04/2023,Banco Inter,Banco Inter
186,5.234,100.00,Paraná Banco 100% CDI por Paraná Banco,FGC,CDB,9.69% a.a.,17/04/2023,Paraná Banco,Paraná Banco
187,5.234,100.00,Modal 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Modal
188,5.234,100.00,ABC 100% CDI por ABC Personal,FGC,CDB,9.69% a.a.,17/04/2023,ABC Personal,ABC
189,5.234,100.00,Caruana Financeira 100% CDI por BTG Pactual,FGC,CDB,9.69% a.a.,17/04/2023,BTG Pactual,Caruana Financeira
190,5.234,100.00,Banco Industrial do Brasil 100% CDI por BTG Pactual,FGC,CDB,9.69% a.a.,17/04/2023,BTG Pactual,Banco Industrial do Brasil
191,5.234,100.00,Banco Master 100% CDI por Órama,FGC,CDB,9.69% a.a.,17/04/2023,Órama,Banco Master
192,5.234,100.00,Banco Master 100% CDI por Nu invest,FGC,CDB,9.69% a.a.,17/04/2023,Nu invest,Banco Master
193,5.234,100.00,Banco Industrial do Brasil 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Banco Industrial do Brasil
194,5.234,100.00,Voiter 100% CDI por Órama,FGC,CDB,9.69% a.a.,17/04/2023,Órama,Voiter
195,5.234,100.00,Voiter 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Voiter
196,5.234,99.00,Pine 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,18/04/2023,Guide Investimentos,Pine
197,5.234,99.00,Banco Industrial do Brasil 99% CDI por Guide Investimentos,FGC,CDB,9.60% a.a.,18/04/2023,Guide Investimentos,Banco Industrial do Brasil
