,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.240,102.50,BTG Pactual 102.5% CDI por Ágora Investimentos,FGC,CDB,9.93% a.a.,17/04/2023,Ágora Investimentos,BTG Pactual
1,5.240,102.50,Alfa 102.5% CDI por BTG Pactual,FGC,CDB,9.93% a.a.,17/04/2023,BTG Pactual,Alfa
2,5.240,101.50,Alfa 101.5% CDI por Guide Investimentos,FGC,CDB,9.84% a.a.,18/04/2023,Guide Investimentos,Alfa
3,5.240,102.25,BTG Pactual 102.25% CDI por BTG Pactual,FGC,CDB,9.91% a.a.,17/04/2023,BTG Pactual,BTG Pactual
4,5.239,103.00,Mercado Livre 103% CDI por XP Investimentos,FGC,CDB,9.98% a.a.,16/04/2023,XP Investimentos,Mercado Livre
5,5.239,103.00,BS2 103% CDI por Daycoval,FGC,CDB,9.98% a.a.,16/04/2023,Daycoval,BS2
6,5.239,103.00,Luso Brasileiro 103% CDI por Nova Futura Investimentos,FGC,CDB,9.98% a.a.,16/04/2023,Nova Futura Investimentos,Luso Brasileiro
7,5.239,103.00,Caruana Financeira 103% CDI por Daycoval,FGC,CDB,9.98% a.a.,16/04/2023,Daycoval,Caruana Financeira
8,5.239,102.00,BTG Pactual 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,BTG Pactual
9,5.239,102.00,BTG Pactual 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,BTG Pactual
10,5.239,102.00,Daycoval 102% CDI por Daycoval,FGC,CDB,9.89% a.a.,17/04/2023,Daycoval,Daycoval
11,5.239,102.00,C6 Bank 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,C6 Bank
