,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.239,102.00,Modal 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,Modal
1,5.239,102.00,Paraná Banco 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,Paraná Banco
2,5.239,102.00,C6 Bank 102% CDI por Ágora Investimentos,FGC,CDB,9.89% a.a.,17/04/2023,Ágora Investimentos,C6 Bank
3,5.239,102.00,Paraná Banco 102% CDI por Ágora Investimentos,FGC,CDB,9.89% a.a.,17/04/2023,Ágora Investimentos,Paraná Banco
4,5.239,102.00,ICBC 102% CDI por BTG Pactual,FGC,CDB,9.89% a.a.,17/04/2023,BTG Pactual,ICBC
5,5.239,101.00,ABC 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,ABC
6,5.239,101.00,BMG 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,BMG
7,5.239,101.00,C6 Bank 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,C6 Bank
8,5.239,101.00,Paraná Banco 101% CDI por Guide Investimentos,FGC,CDB,9.79% a.a.,18/04/2023,Guide Investimentos,Paraná Banco
9,5.238,101.75,BTG Pactual 101.75% CDI por BTG Pactual,FGC,CDB,9.86% a.a.,17/04/2023,BTG Pactual,BTG Pactual
10,5.237,102.00,Daycoval 102% CDI por Nu invest,FGC,CDB,9.89% a.a.,16/04/2023,Nu invest,Daycoval
11,5.237,102.00,Banco Inter 102% CDI por Banco Inter,FGC,CDB,9.89% a.a.,16/04/2023,Banco Inter,Banco Inter
