,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.205,10.63,Fator Prefixado 10.63% por Ágora Investimentos,FGC,CDB,8.46% a.a.,17/04/2023,Ágora Investimentos,Fator
1,5.202,10.45,Caruana Financeira Prefixado 10.45% por BTG Pactual,FGC,CDB,8.31% a.a.,17/04/2023,BTG Pactual,Caruana Financeira
2,5.201,10.50,Caruana Financeira Prefixado 10.5% por Nova Futura Investimentos,FGC,CDB,8.35% a.a.,16/04/2023,Nova Futura Investimentos,Caruana Financeira
3,5.201,10.50,Caruana Financeira Prefixado 10.5% por Daycoval,FGC,CDB,8.35% a.a.,16/04/2023,Daycoval,Caruana Financeira
4,5.201,10.50,Fator Prefixado 10.5% por Nova Futura Investimentos,FGC,CDB,8.35% a.a.,16/04/2023,Nova Futura Investimentos,Fator
5,5.197,10.30,Caruana Financeira Prefixado 10.3% por modalmais,FGC,CDB,8.19% a.a.,16/04/2023,modalmais,Caruana Financeira
6,5.186,9.70,Santana Financeira Prefixado 9.7% por Daycoval,FGC,LC,7.72% a.a.,16/04/2023,Daycoval,Santana Financeira
