,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.990,100.00,Paraná Banco 100% CDI por Paraná Banco,FGC,CDB,9.64% a.a.,06/10/2024,Paraná Banco,Paraná Banco
1,5.990,100.00,Banco Master 100% CDI por Nu invest,FGC,CDB,9.64% a.a.,06/10/2024,Nu invest,Banco Master
2,5.988,11.23,Paraná Banco IPCA + 5.23% por Nova Futura Investimentos,FGC,CDB,9.62% a.a.,06/10/2024,Nova Futura Investimentos,Paraná Banco
3,5.982,97.50,Bradesco 97.5% CDI por Ágora Investimentos,FGC,CDB,9.40% a.a.,16/10/2024,Ágora Investimentos,Bradesco
4,5.970,96.00,Banco Master 96% CDI por Guide Investimentos,FGC,CDB,9.25% a.a.,19/10/2024,Guide Investimentos,Banco Master
5,5.957,96.00,Caixa Geral 96% CDI por Órama,FGC,CDB,9.25% a.a.,10/10/2024,Órama,Caixa Geral
6,5.945,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.06% a.a.,16/10/2024,Guide Investimentos,Digimais
7,5.939,10.70,Santana Financeira Prefixado 10.7% por Daycoval,FGC,LC,9.15% a.a.,06/10/2024,Daycoval,Santana Financeira
8,5.936,10.67,Fator IPCA + 4.7% por Nova Futura Investimentos,FGC,CDB,9.13% a.a.,06/10/2024,Nova Futura Investimentos,Fator
9,5.936,94.00,BS2 94% CDI por Órama,FGC,CDB,9.06% a.a.,10/10/2024,Órama,BS2
10,5.932,93.00,Agibank 93% CDI por Guide Investimentos,FGC,CDB,8.96% a.a.,15/10/2024,Guide Investimentos,Agibank
11,5.928,94.00,Agibank 94% CDI por Nova Futura Investimentos,FGC,CDB,9.05% a.a.,06/10/2024,Nova Futura Investimentos,Agibank
