,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6316,1460,Will Financeira Prefixado 14.6% por Órama,FGC,CDB,12.52% a.a.,10/10/2024,Órama,Will Financeira
1,6315,1471,BRK Financeira IPCA + 8.52% por Nova Futura Investimentos,FGC,CDB,12.62% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
2,6314,1470,BRK Financeira Prefixado 14.7% por Nova Futura Investimentos,FGC,CDB,12.61% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
3,6311,1445,Will Financeira Prefixado 14.45% por modalmais,FGC,CDB,12.40% a.a.,15/10/2024,modalmais,Will Financeira
4,6265,1400,BMG IPCA + 7.85% por Órama,FGC,CDB,12.01% a.a.,14/10/2024,Órama,BMG
5,6263,12366,Tesouro SELIC 2027,,Tesouro Direto,11.94% a.a.,16/10/2024,Rico Investimentos,Tesouro Nacional
6,6259,1395,Facta Financeira Prefixado 13.95% por XP Investimentos,FGC,CDB,11.96% a.a.,14/10/2024,XP Investimentos,Facta Financeira
7,6259,1382,Banco Master IPCA + 7.68% por Nu invest,FGC,CDB,11.86% a.a.,19/10/2024,Nu invest,Banco Master
8,6254,12500,Banco Master 125% CDI por Nu invest,FGC,CDB,12.07% a.a.,06/10/2024,Nu invest,Banco Master
9,6244,1367,BMG IPCA + 7.54% por Nova Futura Investimentos,FGC,CDB,11.73% a.a.,20/10/2024,Nova Futura Investimentos,BMG
10,6226,1357,Will Financeira Prefixado 13.57% por Will Financeira,FGC,RDB,11.63% a.a.,15/10/2024,Will Financeira,Will Financeira
11,6220,12000,Bari 120% CDI por Bari,FGC,CDB,11.58% a.a.,15/10/2024,Bari,Bari
12,6216,1367,NBC Prefixado 13.67% por Nova Futura Investimentos,FGC,CDB,11.72% a.a.,06/10/2024,Nova Futura Investimentos,NBC
13,6212,12104,BRK Financeira CDI + 2.13% por Nova Futura Investimentos,FGC,CDB,11.68% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
14,6211,1362,BMG Prefixado 13.62% por Nova Futura Investimentos,FGC,CDB,11.67% a.a.,06/10/2024,Nova Futura Investimentos,BMG
15,6206,1357,Banco Master Prefixado 13.57% por Nu invest,FGC,CDB,11.63% a.a.,06/10/2024,Nu invest,Banco Master
16,6206,1345,RNX Prefixado 13.45% por Órama,FGC,CDB,11.53% a.a.,10/10/2024,Órama,RNX
17,6201,1159,ABC Prefixado 11.59% por ABC Personal,FGC,LCA,11.59% a.a.,05/10/2024,ABC Personal,ABC
18,6201,11900,BRK Financeira 119% CDI por Órama,FGC,CDB,11.49% a.a.,10/10/2024,Órama,BRK Financeira
19,6201,12000,BRK Financeira 120% CDI por Nova Futura Investimentos,FGC,CDB,11.58% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
20,6199,1135,ABC IPCA + 5.34% por ABC Personal,FGC,LCA,11.35% a.a.,17/10/2024,ABC Personal,ABC
21,6192,1342,BMG Prefixado 13.42% por modalmais,FGC,CDB,11.50% a.a.,06/10/2024,modalmais,BMG
22,6190,1320,Focus Financeira Prefixado 13.2% por modalmais,FGC,CDB,11.31% a.a.,15/10/2024,modalmais,Focus Financeira
23,6189,1123,BTG Pactual IPCA + 5.23% por Nova Futura Investimentos,FGC,LCA,11.23% a.a.,18/10/2024,Nova Futura Investimentos,BTG Pactual
24,6187,1336,Digimais Prefixado 13.36% por Nova Futura Investimentos,FGC,CDB,11.45% a.a.,06/10/2024,Nova Futura Investimentos,Digimais
25,6185,11600,Banco Master 116% CDI por Guide Investimentos,FGC,CDB,11.20% a.a.,19/10/2024,Guide Investimentos,Banco Master
26,6184,10000,Bari 100% CDI por Bari,FGC,LCI,11.26% a.a.,15/10/2024,Bari,Bari
27,6181,1310,Agibank Prefixado 13.1% por Nova Futura Investimentos,FGC,CDB,11.23% a.a.,15/10/2024,Nova Futura Investimentos,Agibank
28,6180,11700,Credipar Financeira 117% CDI por Órama,FGC,LC,11.29% a.a.,10/10/2024,Órama,Credipar Financeira
29,6177,11600,Digimais 116% CDI por modalmais,FGC,CDB,11.19% a.a.,15/10/2024,modalmais,Digimais
30,6176,1325,RNX Prefixado 13.25% por modalmais,FGC,CDB,11.35% a.a.,06/10/2024,modalmais,RNX
31,6168,1316,Pine Prefixado 13.16% por modalmais,FGC,CDB,11.28% a.a.,06/10/2024,modalmais,Pine
32,6166,11500,Modal 115% CDI por modalmais,FGC,CDB,11.10% a.a.,15/10/2024,modalmais,Modal
33,6165,10000,Banco Inter 100% CDI por Banco Inter,FGC,LCI,11.26% a.a.,05/10/2024,Banco Inter,Banco Inter
34,6163,11400,Fator 114% CDI por Ágora Investimentos,FGC,CDB,11.00% a.a.,18/10/2024,Ágora Investimentos,Fator
35,6162,1290,Agibank Prefixado 12.9% por modalmais,FGC,CDB,11.05% a.a.,15/10/2024,modalmais,Agibank
36,6161,11400,Digimais 114% CDI por Guide Investimentos,FGC,CDB,11.00% a.a.,17/10/2024,Guide Investimentos,Digimais
